Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
91	27	0	1.2211199	-4.48541962e-07	-9.26501481e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
92	27	0	1.2345388	-1.71906276e-07	-9.08533015e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
93	28	0	1.2479577	-1.29400141e-07	-8.24622483e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
94	28	0	1.2613766	-5.26636189e-08	-7.66494408e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
95	28	0	1.2747955	2.96861725e-08	-6.88086729e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
96	28	0	1.2882144	9.36279161e-08	-6.02219171e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
97	29	0	1.3016333	1.35611641e-07	-4.69195683e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
98	29	0	1.3150522	3.40833111e-07	-3.53730535e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
99	29	0	1.3284711	3.13039905e-07	-3.01153329e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
100	29	0	1.34189	9.51708062e-08	-3.29352797e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
101	30	0	1.3553089	1.18951783e-07	-3.39072154e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
